setting_tasks,setting_processors,seed,split,HEFT,CPOP,RKHS_BO,template_features,theta,llm_response
20,4,40,test,90.0,111.0,88.0,"rank_u,depth,comm_weight,in_degree","{'rank_u': 1.1499158795425435, 'depth': -1.09196125118069, 'comm_weight': 0.442314687998, 'in_degree': -2.9771490662363647}",Here’s a compact formula for the priority heuristic using 4 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.1 \times \text{in_degree}  \]   This formula emphasizes the importance of task rank and depth while incorporating communication weight and in-degree to capture dependencies and potential resource contention.
20,4,41,test,90.0,104.0,95.0,"rank_u,depth,comm_weight,in_degree","{'rank_u': 1.1499158795425435, 'depth': -1.09196125118069, 'comm_weight': 0.442314687998, 'in_degree': -2.9771490662363647}",Here’s a compact formula for the priority heuristic using 4 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.1 \times \text{in_degree}  \]   This formula emphasizes the importance of task rank and depth while incorporating communication weight and in-degree to capture dependencies and potential resource contention.
20,4,42,test,103.0,103.0,103.0,"rank_u,depth,comm_weight,in_degree","{'rank_u': 1.1499158795425435, 'depth': -1.09196125118069, 'comm_weight': 0.442314687998, 'in_degree': -2.9771490662363647}",Here’s a compact formula for the priority heuristic using 4 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.1 \times \text{in_degree}  \]   This formula emphasizes the importance of task rank and depth while incorporating communication weight and in-degree to capture dependencies and potential resource contention.
20,4,43,test,79.0,106.0,79.0,"rank_u,depth,comm_weight,in_degree","{'rank_u': 1.1499158795425435, 'depth': -1.09196125118069, 'comm_weight': 0.442314687998, 'in_degree': -2.9771490662363647}",Here’s a compact formula for the priority heuristic using 4 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.1 \times \text{in_degree}  \]   This formula emphasizes the importance of task rank and depth while incorporating communication weight and in-degree to capture dependencies and potential resource contention.
20,4,44,test,142.0,157.0,142.0,"rank_u,depth,comm_weight,in_degree","{'rank_u': 1.1499158795425435, 'depth': -1.09196125118069, 'comm_weight': 0.442314687998, 'in_degree': -2.9771490662363647}",Here’s a compact formula for the priority heuristic using 4 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.1 \times \text{in_degree}  \]   This formula emphasizes the importance of task rank and depth while incorporating communication weight and in-degree to capture dependencies and potential resource contention.
20,4,45,test,102.0,102.0,102.0,"rank_u,depth,comm_weight,in_degree","{'rank_u': 1.1499158795425435, 'depth': -1.09196125118069, 'comm_weight': 0.442314687998, 'in_degree': -2.9771490662363647}",Here’s a compact formula for the priority heuristic using 4 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.1 \times \text{in_degree}  \]   This formula emphasizes the importance of task rank and depth while incorporating communication weight and in-degree to capture dependencies and potential resource contention.
20,4,46,test,98.0,106.0,98.0,"rank_u,depth,comm_weight,in_degree","{'rank_u': 1.1499158795425435, 'depth': -1.09196125118069, 'comm_weight': 0.442314687998, 'in_degree': -2.9771490662363647}",Here’s a compact formula for the priority heuristic using 4 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.1 \times \text{in_degree}  \]   This formula emphasizes the importance of task rank and depth while incorporating communication weight and in-degree to capture dependencies and potential resource contention.
20,4,47,test,91.0,91.0,91.0,"rank_u,depth,comm_weight,in_degree","{'rank_u': 1.1499158795425435, 'depth': -1.09196125118069, 'comm_weight': 0.442314687998, 'in_degree': -2.9771490662363647}",Here’s a compact formula for the priority heuristic using 4 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.1 \times \text{in_degree}  \]   This formula emphasizes the importance of task rank and depth while incorporating communication weight and in-degree to capture dependencies and potential resource contention.
20,4,48,test,100.0,109.0,100.0,"rank_u,depth,comm_weight,in_degree","{'rank_u': 1.1499158795425435, 'depth': -1.09196125118069, 'comm_weight': 0.442314687998, 'in_degree': -2.9771490662363647}",Here’s a compact formula for the priority heuristic using 4 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.1 \times \text{in_degree}  \]   This formula emphasizes the importance of task rank and depth while incorporating communication weight and in-degree to capture dependencies and potential resource contention.
20,4,49,test,94.0,113.0,94.0,"rank_u,depth,comm_weight,in_degree","{'rank_u': 1.1499158795425435, 'depth': -1.09196125118069, 'comm_weight': 0.442314687998, 'in_degree': -2.9771490662363647}",Here’s a compact formula for the priority heuristic using 4 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.1 \times \text{in_degree}  \]   This formula emphasizes the importance of task rank and depth while incorporating communication weight and in-degree to capture dependencies and potential resource contention.
20,8,40,test,77.0,77.0,77.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 1.102753815997346, 'depth': 2.421544091011562, 'in_degree': -2.2357043615810284, 'fork': -2.640829079645367, 'comm_weight': -0.43797758895771643}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances the task's rank, structural properties, and communication weight, making it suitable for heterogeneous DAG scheduling."
20,8,41,test,66.0,63.0,63.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 1.102753815997346, 'depth': 2.421544091011562, 'in_degree': -2.2357043615810284, 'fork': -2.640829079645367, 'comm_weight': -0.43797758895771643}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances the task's rank, structural properties, and communication weight, making it suitable for heterogeneous DAG scheduling."
20,8,42,test,68.0,70.0,68.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 1.102753815997346, 'depth': 2.421544091011562, 'in_degree': -2.2357043615810284, 'fork': -2.640829079645367, 'comm_weight': -0.43797758895771643}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances the task's rank, structural properties, and communication weight, making it suitable for heterogeneous DAG scheduling."
20,8,43,test,59.0,69.0,59.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 1.102753815997346, 'depth': 2.421544091011562, 'in_degree': -2.2357043615810284, 'fork': -2.640829079645367, 'comm_weight': -0.43797758895771643}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances the task's rank, structural properties, and communication weight, making it suitable for heterogeneous DAG scheduling."
20,8,44,test,95.0,95.0,95.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 1.102753815997346, 'depth': 2.421544091011562, 'in_degree': -2.2357043615810284, 'fork': -2.640829079645367, 'comm_weight': -0.43797758895771643}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances the task's rank, structural properties, and communication weight, making it suitable for heterogeneous DAG scheduling."
20,8,45,test,80.0,80.0,77.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 1.102753815997346, 'depth': 2.421544091011562, 'in_degree': -2.2357043615810284, 'fork': -2.640829079645367, 'comm_weight': -0.43797758895771643}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances the task's rank, structural properties, and communication weight, making it suitable for heterogeneous DAG scheduling."
20,8,46,test,92.0,92.0,92.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 1.102753815997346, 'depth': 2.421544091011562, 'in_degree': -2.2357043615810284, 'fork': -2.640829079645367, 'comm_weight': -0.43797758895771643}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances the task's rank, structural properties, and communication weight, making it suitable for heterogeneous DAG scheduling."
20,8,47,test,80.0,80.0,80.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 1.102753815997346, 'depth': 2.421544091011562, 'in_degree': -2.2357043615810284, 'fork': -2.640829079645367, 'comm_weight': -0.43797758895771643}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances the task's rank, structural properties, and communication weight, making it suitable for heterogeneous DAG scheduling."
20,8,48,test,73.0,79.0,74.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 1.102753815997346, 'depth': 2.421544091011562, 'in_degree': -2.2357043615810284, 'fork': -2.640829079645367, 'comm_weight': -0.43797758895771643}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances the task's rank, structural properties, and communication weight, making it suitable for heterogeneous DAG scheduling."
20,8,49,test,104.0,104.0,104.0,"rank_u,depth,in_degree,fork,comm_weight","{'rank_u': 1.102753815997346, 'depth': 2.421544091011562, 'in_degree': -2.2357043615810284, 'fork': -2.640829079645367, 'comm_weight': -0.43797758895771643}","Here is a compact formula for the interpretable priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{in_degree} + 0.4 \times \text{fork} + 0.1 \times \text{comm_weight}  \]   This formula balances the task's rank, structural properties, and communication weight, making it suitable for heterogeneous DAG scheduling."
50,2,40,test,399.0,528.0,386.0,"rank_u,depth,comm_weight,fork","{'rank_u': 2.9518319626599028, 'depth': -1.3917838660557766, 'comm_weight': -0.4977553393974935, 'fork': -1.0850303643338977}","Here is a compact formula for your interpretable priority heuristic:  \[ \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} \]  This formula balances the importance of task rank, task depth, communication weight, and the fork structure, which can help prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,2,41,test,406.0,480.0,404.0,"rank_u,depth,comm_weight,fork","{'rank_u': 2.9518319626599028, 'depth': -1.3917838660557766, 'comm_weight': -0.4977553393974935, 'fork': -1.0850303643338977}","Here is a compact formula for your interpretable priority heuristic:  \[ \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} \]  This formula balances the importance of task rank, task depth, communication weight, and the fork structure, which can help prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,2,42,test,402.0,500.0,413.0,"rank_u,depth,comm_weight,fork","{'rank_u': 2.9518319626599028, 'depth': -1.3917838660557766, 'comm_weight': -0.4977553393974935, 'fork': -1.0850303643338977}","Here is a compact formula for your interpretable priority heuristic:  \[ \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} \]  This formula balances the importance of task rank, task depth, communication weight, and the fork structure, which can help prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,2,43,test,432.0,476.0,427.0,"rank_u,depth,comm_weight,fork","{'rank_u': 2.9518319626599028, 'depth': -1.3917838660557766, 'comm_weight': -0.4977553393974935, 'fork': -1.0850303643338977}","Here is a compact formula for your interpretable priority heuristic:  \[ \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} \]  This formula balances the importance of task rank, task depth, communication weight, and the fork structure, which can help prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,2,44,test,384.0,472.0,385.0,"rank_u,depth,comm_weight,fork","{'rank_u': 2.9518319626599028, 'depth': -1.3917838660557766, 'comm_weight': -0.4977553393974935, 'fork': -1.0850303643338977}","Here is a compact formula for your interpretable priority heuristic:  \[ \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} \]  This formula balances the importance of task rank, task depth, communication weight, and the fork structure, which can help prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,2,45,test,393.0,481.0,402.0,"rank_u,depth,comm_weight,fork","{'rank_u': 2.9518319626599028, 'depth': -1.3917838660557766, 'comm_weight': -0.4977553393974935, 'fork': -1.0850303643338977}","Here is a compact formula for your interpretable priority heuristic:  \[ \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} \]  This formula balances the importance of task rank, task depth, communication weight, and the fork structure, which can help prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,2,46,test,405.0,529.0,426.0,"rank_u,depth,comm_weight,fork","{'rank_u': 2.9518319626599028, 'depth': -1.3917838660557766, 'comm_weight': -0.4977553393974935, 'fork': -1.0850303643338977}","Here is a compact formula for your interpretable priority heuristic:  \[ \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} \]  This formula balances the importance of task rank, task depth, communication weight, and the fork structure, which can help prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,2,47,test,424.0,525.0,411.0,"rank_u,depth,comm_weight,fork","{'rank_u': 2.9518319626599028, 'depth': -1.3917838660557766, 'comm_weight': -0.4977553393974935, 'fork': -1.0850303643338977}","Here is a compact formula for your interpretable priority heuristic:  \[ \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} \]  This formula balances the importance of task rank, task depth, communication weight, and the fork structure, which can help prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,2,48,test,368.0,424.0,367.0,"rank_u,depth,comm_weight,fork","{'rank_u': 2.9518319626599028, 'depth': -1.3917838660557766, 'comm_weight': -0.4977553393974935, 'fork': -1.0850303643338977}","Here is a compact formula for your interpretable priority heuristic:  \[ \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} \]  This formula balances the importance of task rank, task depth, communication weight, and the fork structure, which can help prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,2,49,test,398.0,468.0,406.0,"rank_u,depth,comm_weight,fork","{'rank_u': 2.9518319626599028, 'depth': -1.3917838660557766, 'comm_weight': -0.4977553393974935, 'fork': -1.0850303643338977}","Here is a compact formula for your interpretable priority heuristic:  \[ \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} \]  This formula balances the importance of task rank, task depth, communication weight, and the fork structure, which can help prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,4,40,test,199.0,228.0,201.0,"rank_u,depth,comm_weight","{'rank_u': 2.6184881448780173, 'depth': -2.9176978037192134, 'comm_weight': -0.31322611560695024}","Here is a compact formula for the interpretable priority heuristic:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight}  \]  This formula incorporates the task's rank in the upper layer of the DAG, its depth, and the communication weight, balancing the importance of task priority, execution order, and communication overhead."
50,4,41,test,233.0,298.0,224.0,"rank_u,depth,comm_weight","{'rank_u': 2.6184881448780173, 'depth': -2.9176978037192134, 'comm_weight': -0.31322611560695024}","Here is a compact formula for the interpretable priority heuristic:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight}  \]  This formula incorporates the task's rank in the upper layer of the DAG, its depth, and the communication weight, balancing the importance of task priority, execution order, and communication overhead."
50,4,42,test,227.0,265.0,223.0,"rank_u,depth,comm_weight","{'rank_u': 2.6184881448780173, 'depth': -2.9176978037192134, 'comm_weight': -0.31322611560695024}","Here is a compact formula for the interpretable priority heuristic:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight}  \]  This formula incorporates the task's rank in the upper layer of the DAG, its depth, and the communication weight, balancing the importance of task priority, execution order, and communication overhead."
50,4,43,test,287.0,310.0,278.0,"rank_u,depth,comm_weight","{'rank_u': 2.6184881448780173, 'depth': -2.9176978037192134, 'comm_weight': -0.31322611560695024}","Here is a compact formula for the interpretable priority heuristic:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight}  \]  This formula incorporates the task's rank in the upper layer of the DAG, its depth, and the communication weight, balancing the importance of task priority, execution order, and communication overhead."
50,4,44,test,201.0,274.0,212.0,"rank_u,depth,comm_weight","{'rank_u': 2.6184881448780173, 'depth': -2.9176978037192134, 'comm_weight': -0.31322611560695024}","Here is a compact formula for the interpretable priority heuristic:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight}  \]  This formula incorporates the task's rank in the upper layer of the DAG, its depth, and the communication weight, balancing the importance of task priority, execution order, and communication overhead."
50,4,45,test,266.0,299.0,266.0,"rank_u,depth,comm_weight","{'rank_u': 2.6184881448780173, 'depth': -2.9176978037192134, 'comm_weight': -0.31322611560695024}","Here is a compact formula for the interpretable priority heuristic:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight}  \]  This formula incorporates the task's rank in the upper layer of the DAG, its depth, and the communication weight, balancing the importance of task priority, execution order, and communication overhead."
50,4,46,test,220.0,292.0,216.0,"rank_u,depth,comm_weight","{'rank_u': 2.6184881448780173, 'depth': -2.9176978037192134, 'comm_weight': -0.31322611560695024}","Here is a compact formula for the interpretable priority heuristic:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight}  \]  This formula incorporates the task's rank in the upper layer of the DAG, its depth, and the communication weight, balancing the importance of task priority, execution order, and communication overhead."
50,4,47,test,254.0,272.0,254.0,"rank_u,depth,comm_weight","{'rank_u': 2.6184881448780173, 'depth': -2.9176978037192134, 'comm_weight': -0.31322611560695024}","Here is a compact formula for the interpretable priority heuristic:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight}  \]  This formula incorporates the task's rank in the upper layer of the DAG, its depth, and the communication weight, balancing the importance of task priority, execution order, and communication overhead."
50,4,48,test,199.0,242.0,198.0,"rank_u,depth,comm_weight","{'rank_u': 2.6184881448780173, 'depth': -2.9176978037192134, 'comm_weight': -0.31322611560695024}","Here is a compact formula for the interpretable priority heuristic:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight}  \]  This formula incorporates the task's rank in the upper layer of the DAG, its depth, and the communication weight, balancing the importance of task priority, execution order, and communication overhead."
50,4,49,test,235.0,272.0,235.0,"rank_u,depth,comm_weight","{'rank_u': 2.6184881448780173, 'depth': -2.9176978037192134, 'comm_weight': -0.31322611560695024}","Here is a compact formula for the interpretable priority heuristic:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight}  \]  This formula incorporates the task's rank in the upper layer of the DAG, its depth, and the communication weight, balancing the importance of task priority, execution order, and communication overhead."
50,8,40,test,150.0,151.0,150.0,"rank_u,depth,comm_weight,fork,in_degree","{'rank_u': 2.5425753131322164, 'depth': -0.23551546771676984, 'comm_weight': 0.5188032679482151, 'fork': -1.1298741380966966, 'in_degree': -1.699848510622981}","Here is a compact formula for the priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} + 0.1 \times \text{in_degree}  \]   This formula balances task importance (rank and depth), communication overhead (comm_weight), and structural characteristics (fork and in_degree) to prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,8,41,test,199.0,213.0,199.0,"rank_u,depth,comm_weight,fork,in_degree","{'rank_u': 2.5425753131322164, 'depth': -0.23551546771676984, 'comm_weight': 0.5188032679482151, 'fork': -1.1298741380966966, 'in_degree': -1.699848510622981}","Here is a compact formula for the priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} + 0.1 \times \text{in_degree}  \]   This formula balances task importance (rank and depth), communication overhead (comm_weight), and structural characteristics (fork and in_degree) to prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,8,42,test,160.0,172.0,160.0,"rank_u,depth,comm_weight,fork,in_degree","{'rank_u': 2.5425753131322164, 'depth': -0.23551546771676984, 'comm_weight': 0.5188032679482151, 'fork': -1.1298741380966966, 'in_degree': -1.699848510622981}","Here is a compact formula for the priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} + 0.1 \times \text{in_degree}  \]   This formula balances task importance (rank and depth), communication overhead (comm_weight), and structural characteristics (fork and in_degree) to prioritize tasks effectively in a heterogeneous DAG scheduling context."
50,8,43,test,214.0,214.0,214.0,"rank_u,depth,comm_weight,fork,in_degree","{'rank_u': 2.5425753131322164, 'depth': -0.23551546771676984, 'comm_weight': 0.5188032679482151, 'fork': -1.1298741380966966, 'in_degree': -1.699848510622981}","Here is a compact formula for the priority heuristic using 5 features:  \[  \text{score} = 0.5 \times \text{rank_u} + 0.3 \times \text{depth} + 0.2 \times \text{comm_weight} + 0.4 \times \text{fork} + 0.1 \times \text{in_degree}  \]   This formula balances task importance (rank and depth), communication overhead (comm_weight), and structural characteristics (fork and in_degree) to prioritize tasks effectively in a heterogeneous DAG scheduling context."
